First name,Last name,Table,Side,RSVP,Meal,Donation,Thank You Sent,Street,Suite,"City, State",Country,Zip Code,Email Address
Peter,Cornelissen,4,Bride,2,Beef,$150,Not Yet Started,PO Box 5517,,"London, ON",Canada,N6A 4P9,cornelissenpeter@email.com
Srikanth,Cowan,4,Bride,1,Beef,$100,Not Yet Started,30 Novopharm Ct,,"Toronto, ON",Canada,M1B 2K9,cowansrikanth@email.com
Dean,Daamen,6,Groom,3,Fish,$50,Ready,805 Route 143,,"St Bonaventure, QC",Canada,J0C 1C0,daamendean@email.com
Eriks,Desbiens,5,Groom,1,Fish,$200,Not Yet Started,14 Saint Onge,,"Chateauguay, QC",Canada,J6J 5T8,desbienseriks@email.com
David,Desjardins,9,Groom,3,Veggie,$50,In Progress,8600 Chemin Devonshire,Unit 21,"Mont-Royal, QC",Canada,H4P 2K9,desjardinsdavid@email.com
Ross,Di Mario,9,Groom,3,Beef,$100,Not Yet Started,35 Basswood Ave Box 21,,"Stittsville, ON",Canada,K2S 1J2,di marioross@email.com
Ron,Dickinson,3,Groom,4,Veggie,$150,Ready,600 Dr Frederik Philips Blvd,,"Saint-Laurent, QC",Canada,H4M 2S9,dickinsonron@email.com
Richard,Dorion,1,Groom,3,Beef,$500,Ready,7101 Notre Dame St ,,"Montreal, QC",Canada,H1N 2G4,dorionrichard@email.com
Ramon,Drolet,7,Bride,1,Beef,$200,In Progress,375 Chemin Saint Francois Quest,,"Saint-Francois-de-la-Rivere-du-Sud, QC",Canada,G0R 3A0,droletramon@email.com
Geoff,Dusome,5,Groom,2,Beef,$200,Not Yet Started,15 Vanderbilt Dr,,"Winnipeg, MB",Canada,R3Y 1M8,dusomegeoff@email.com
John,Enns,7,Bride,1,Beef,$150,In Progress,55 Summit Street,,"Calgary, AB",Canada,T2N 1N4,ennsjohn@email.com
Robert,Faccone,8,Bride,1,Vegan,$150,In Progress,233 Boylan,,"Dorval, QC",Canada,H9S 5J7,facconerobert@email.com
Gordon,Fielenbach,4,Bride,3,Fish,$0,Not Yet Started,805 Route 143,,"St Bonaventure, QC",Canada,J0C 1C0,fielenbachgordon@email.com
Maureen,Fleming,2,Bride,5,Chicken,$200,Not Yet Started,4828 Mount Royal Gate SW,,"Calgary, AB",Canada,T3E 6K6,flemingmaureen@email.com
Ioan,Foo,2,Bride,2,Beef,$100,In Progress,1068 Glenashton Dr,,"Oakville, ON",Canada,L6H 4C1,fooioan@email.com
Ellen,Francis,7,Groom,4,Fish,$500,Ready,3700 Gilmore Way,,"Burnaby, BC",Canada,V5G 4M1,francisellen@email.com
Adil,Frank,2,Bride,5,Beef,"$1,000",In Progress,6150 Kennedy Rd,Unit 12,"Mississauga, ON",Canada,L5T 2J4,frankadil@email.com
Don,Gloutnay,4,Bride,2,Fish,$200,In Progress,610 Des Tulipes,,"La Prairie, QC",Canada,J5R 5K2,gloutnaydon@email.com
Sanjay,Gougeon,1,Groom,3,Beef,$200,Not Yet Started,8580 Esplanade Ave,,"Montreal, QC",Canada,H2P 2R8,gougeonsanjay@email.com
Allen,Gravel,5,Groom,1,Beef,$200,Not Yet Started,4278 Beaconfield,#3271,"Montreal, QC",Canada,H4A 2H3,gravelallen@email.com
Tania,Green,3,Groom,1,Chicken,$50,Not Yet Started,198 Pearl Street East,,"Brockville, ON",Canada,K6V 1R4,greentania@email.com
John,Hickey,9,Bride,1,Chicken,$200,In Progress,18 Forest Ave,,"Port Colborne, ON",Canada,L3K 5E1,hickeyjohn@email.com
Phillipe,Homburg,7,Groom,2,Beef,$200,In Progress,1520 United Blvd,,"Coquitlam, BC",Canada,V3K 6Y7,homburgphillipe@email.com
Hamid,Hoon,8,Bride,1,Beef,$200,Not Yet Started,1555 United Blvd,,"Coquitlam, BC",Canada,V3K 6Y7,hoonhamid@email.com
Henry,Johnston,2,Bride,5,Beef,$50,Not Yet Started,406 Grange Road,Apt H,"Guelph, ON",Canada,n1e 7h6,johnstonhenry@email.com
Alan,Kaufman,6,Groom,1,Beef,$200,Not Yet Started,54 Lewis Cres,,"Kitchener, ON",Canada,N2A 2T6,kaufmanalan@email.com
Luc,Kither,2,Bride,3,Fish,$150,In Progress,805 Route 143,,"St Bonaventure, QC",Canada,J0C 1C0,kitherluc@email.com
Luc,L'Abbe,5,Groom,3,Veggie,$200,Ready,79 De Varsovie,,"Laval, QC",Canada,H7K 2G8,labbeluc@email.com
Bernard,Landry,5,Groom,2,Beef,$400,In Progress,3000 Cote Sainte Catherine ,,"Montreal, QC",Canada,H3T 2A7,landrybernard@email.com
Charles,Legentil,4,Bride,1,Beef,$150,Not Yet Started,100 Boul Alexis-Nihon,A-18,"Saint-Laurent, QC",Canada,H4M 2N9,legentilcharles@email.com
John,Livingstone,5,Groom,3,Beef,$150,Ready,51 Craig Dr,,"Kentville, NS",Canada,B4N 5H2,livingstonejohn@email.com
Michael,Longley,2,Bride,2,Chicken,$200,Ready,143 Huron Heights Dr,,"Newmarket, ON",Canada,L3Y 4Z6,longleymichael@email.com
Bill,Luehof,1,Groom,2,Beef,$150,Ready,155 Oakdale Rd,Unit 109,"North York, ON",Canada,M3N 1W2,luehofbill@email.com
Donald,Maille,3,Groom,1,Beef,$100,Ready,1555 Notre Dame E,,"Montreal, QC",Canada,H2L 2R5,mailledonald@email.com
Brent,McAllister,9,Bride,1,Chicken,$100,Ready,5795 Don Murie St,,"Niagara Falls, ON",Canada,L2E 6X8,mcallisterbrent@email.com
Qasim,McDiarmid,1,Groom,1,Beef,$50,Ready,979 Cameron St,,"Cumberland, ON",Canada,K4C 1A1,mcdiarmidqasim@email.com
Garry,Mercure,8,Bride,1,Veggie,$50,In Progress,18055 Meloche,,"Pierrefond, QC",Canada,H9K 1K1,mercuregarry@email.com
Reinaldo,Meyers,6,Bride,4,Beef,$200,Ready,3000 Merivale Rd,,"Ottawa, ON",Canada,K2G 6N7,meyersreinaldo@email.com
Claude,Murphy,5,Groom,1,Chicken,$200,In Progress,Townhouse 26,,"Mississauga, ON",Canada,L5A 3G8,murphyclaude@email.com
Haruki,Myers,7,Groom,1,Beef,$200,Ready,6150 Kennedy Rd,Unit 10,"Mississauga, ON",Canada,L5T 2J4,myersharuki@email.com
Ferdinando,Newton,3,Groom,1,Beef,$200,In Progress,RR 2,Ste. 10,"Roseneath, ON",Canada,K0K 2X0,newtonferdinando@email.com
Anthony,Ouellet,1,Groom,3,Veggie,$300,In Progress,5600 Côte de Liesse,,"Mont-Royal, QC",Canada,H4T 4L1,ouelletanthony@email.com
Howard,Paquin,8,Bride,2,Beef,$150,Not Yet Started,500 Palladium Dr,,"Ottawa, ON",Canada,K2V 1C2,paquinhoward@email.com
Linda,Peddie-Vasquez,6,Groom,1,Beef,$50,Ready,14 Bythia Street,Ste. 900,"Orangeville, ON",Canada,L9W 2S1,peddie-vasquezlinda@email.com
Mohammed,Rasko,2,Bride,5,Fish,$200,Ready,4134 134A Ave NW,,"Edmonton, AB",Canada,T5A 2N5,raskomohammed@email.com
Leigh,Remecki,6,Bride,1,Beef,$50,In Progress,12800 Rue de L'Avenir,Apt. 4,"Mirabel, QC",Canada,J7J 1R4,remeckileigh@email.com
Peter,Roberge,3,Groom,4,Vegan,$100,Ready,3535 Trans Canada Hwy,,"Pointe-Claire, QC",Canada,H9R 1B4,robergepeter@email.com
Marian,Roman,1,Groom,3,Beef,$100,Not Yet Started,135 Dundas St,,"Cambridge, ON",Canada,N1R 5X1,romanmarian@email.com
Abbas,Sakaguchi,1,Groom,2,Beef,$100,Ready,25 Dyas Rd,Ste. 101,"North York, ON",Canada,M3B 1V7,sakaguchiabbas@email.com
Roshni,Sauter Miller,6,Bride,4,Beef,$50,Ready,3000 Merivale Rd,,"Ottawa, ON",Canada,K2G 6N7,sauter millerroshni@email.com
Wilhelm,Shipley,9,Groom,3,Beef,$50,Ready,15 Oriole Pky,,"Elmira, ON",Canada,N3B 1B6,shipleywilhelm@email.com
David,Silva,6,Groom,4,Beef,$300,In Progress,3000 Merivale Rd,,"Ottawa, ON",Canada,K2G 6N7,silvadavid@email.com
Danielle,Soong,3,Groom,4,Chicken,$50,Not Yet Started,74 Apricot St,,"Thornhill, ON",Canada,L3T 1C8,soongdanielle@email.com
Mohammed,Tardi,4,Bride,2,Fish,$150,Ready,1550 United Blvd,,"Coquitlam, BC",Canada,V3K 6Y7,tardimohammed@email.com
Elizabeth,Townsend,3,Groom,4,Beef,$100,In Progress,7505 134 A St,,"Surrey, BC",Canada,V3W 7B3,townsendelizabeth@email.com
Michael,Tseng,2,Bride,2,Chicken,$150,In Progress,143 Huron Heights Dr,,"Newmarket, ON",Canada,L3Y 4Z6,tsengmichael@email.com
Donald,Ulmer,7,Groom,1,Beef,$50,Not Yet Started,1803 Lahey Ct,,"Kanata, ON",Canada,K2W 1B2,ulmerdonald@email.com
Robert,Verwoerd,4,Bride,2,Beef,$300,In Progress,1550 United Blvd,,"Coquitlam, BC",Canada,V3K 6Y7,verwoerdrobert@email.com
Dave,Wadsworth,8,Bride,2,Veggie,$200,Not Yet Started,362 Bedford Pk Ave,,"Toronto, ON",Canada,M5M 1J8,wadsworthdave@email.com
Cornelis,Wesenberg,6,Groom,4,Beef,$200,Ready,3000 Merivale Rd,,"Ottawa, ON",Canada,K2G 6N7,wesenbergcornelis@email.com
Mohamed,Wright,1,Groom,3,Beef,"$1,000",Ready,135 Dundas St,,"Cambridge, ON",Canada,N1R 5X1,wrightmohamed@email.com
Ron,Zimmermann,7,Groom,2,Fish,$0,Not Yet Started,1241 rue Cascades,,"Chateauguay, QC",Canada,J6J 4Z2,zimmermannron@email.com
